ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,filesize,Layer_Order
306376_geojson,306376.geojson,Route of Army Road,application/geo+json,file:/geojson.zip,306376.geojson,,4
305631_geojson,305631.geojson,Hivaro-Kawapanan in Contemporary South America,application/geo+json,file:/geojson.zip,305631.geojson,,0
be6ae5df7e9db7690f2c77d98599fcfb,Blench003.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/blench003/Blench003.jpg,,736711,
2a5ed3a64ffbf47e2589386904ff6725,AfricaHIV.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/AfricaHIV/AfricaHIV.jpg,,19523,
74e2c2e3b90a59c69604a41f4ff71af0,Blench004.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/blench004/Blench004.jpg,,625767,
df51a52133e6b80f2633d9748f44bd4d,Sunda-sahul-wallacea-migration.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/SSWMig/Sunda-sahul-wallacea-migration.png,,67996,
8ff621ff531bcfc18d75a38aaa9fd3c6,Kibetandrungainchad.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/KibetandRungainchad/Kibetandrungainchad.jpg,,56335,
b99ac809ba024d8522d7b94adbab1819,Commonlanguages.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/WestCommonLangs/Commonlanguages.png,,54631,
31ed398e03bae6b5186007b08a167396,NativeAmericanCultureAreas.JPG,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/NativeAmericanCultureAreas/NativeAmericanCultureAreas.JPG,,80213,
9dd967216a76fad462d3ac120220d7bb,Newman011-003.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/Newman011/Newman011-003.jpg,,1342912,
111453_geojson,111453.geojson,Soviet Languages,application/geo+json,file:/geojson.zip,111453.geojson,,0
310503_geojson,310503.geojson,Polynesian Subgroup,application/geo+json,file:/geojson.zip,310503.geojson,,3
