ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
wyb,Wongai-bun,,,,wang1291,
wyb-ngi,Narran,,,,,
wyb-wan,Wombungee,,,,,
wyb-way,Waljwan,,,,,
yalc,Eastern Pama Subgroup,,,,,
yara,Yara Subgroup,,,,,
ydic,Yidinic,,,,,
yia,Inggarda,,,,ying1247,
yii,Boolboora,,,,yidi1250,
yiy,Koko-Minychéna,,,,yiry1245,
ylr,Yalarnnga,,,,yala1262,
yub,Yugambal,,,,yuga1244,
yuin,Yuin,,,,,
yura,Proto Core Thura-Yura,,,,,
ywr,Jawdjibara,,,,yawu1244,
yww,Yawarawarga,,,,yawa1258,
zku,Milipitingara,,,,kaur1267,
zmc,Margany,,,,marg1253,
zme,Berrigurruk,,,,mang1382,
zmk,Mandandanyi,,,,mand1417,
zmu,Muruworri,,,,muru1266,
0g3,Tulua,,,,gure1255,
0g4,Piria,,,,pirr1240,
0g5,Ilba,,,,,
0g6,Gia,,,,,
0g7,Moothaburra,,,,,
0g8,Wadjalong,,,,,
0g9,Jimun,,,,,
0gj,Minkin,,,,,
0gm,Theddora,,,,,
0gr,MpalitYan̯,,,,,
0gt,Ngkoth,,,,,
0gu,Jinwun,,,,,
0gv,Aritinngithigh,,,,,
0gw,Angutimi,,,,,
0gw-nrw,Nrwaʔa,,,,,
0gx,Mbeiwum,,,,,
0gz,Tarkalag,,,,,
0h0,Ulaolinya,,,,,
0h1,Maljangaba,,,,,
0h3,Karawali,,,,,
0h5,Kairi,,,,,
0ha,Gabi,,,,,
0ha-bad,Badjela,,,,,
0he,Jagara,,,,,
0hf,Guwar,,,,,
0hg,Burragorang,,,,,
0hh,Ngarigo,,,,,
0hh-wol,Walgalu,,,,,
0hk,Darkinjung,,,,,
0hl,Eo-ra,,,,,
0hm,Yorta Yorta,,,,,
0hn,Yabula Yabula,,,,,
0ho,Wambo Wambo,,,,,
0ho-bar,Karraba,,,,,
0hp,Nari Nari,,,,,
0hq,Wathaurung,,,,,
0hr,Coligan,,,,,
0hs,Kirawirung,,,,,
0ht,Bungandaetch,,,,,
0hu,Kuurnkopannoot,,,,,
0hu-kir,Kirawirung,,,,,
0hv,Ngaiawong,,,,,
0hw,Yerraruck,,,,,
0hw-era,Yerraruck,,,,,
0hw-nga,Ngawaijung,,,,,
0hw-ngi,Ngintait,,,,,
0hw-ngr,Merkani,,,,,
0hx,Kerinma,,,,,
0ik,Munumburu,,,,,
0p7,Mailnga,,,,,
0ql,Mirning-Ngadjunma-Kalarko,,,,,
0s1,Koara,,,,,
0s5,Ngurlu,,,,,
0s7,Tjalkatjarra,,,,,
0s9,Mandjinjiwonga,,,,,
0sl,Inawonga,,,,,
0sm,Wirdinya,,,,,
0st,Tjitiyamba,,,,,
0su,Ngaiuwonga,,,,,
0ta,Tjeraridjal,,,,,
0tb,Moorooon,,,,,
0tc,Ngaliya,,,,,
0ty,Jadliaura,,,,,
0u7,Ngulangulandji,,,,,
0u8,Wadikali,,,,,
0u9,Marulta,,,,,
0ug,Ayerreyenge,,,,,
0uq,Janda,,,,,
0uu,Kungaditji,,,,,
0uw,Moorloobullo,,,,,
0ux,Rukkia,,,,,
0uy,Ringu-Ringu,,,,,
0uz,Mayawarli,,,,,
0va,Ngunnhalgri,,,,,
0vb,Wanywalgu,,,,,
0vc,Ngaraltu,,,,,
0vd,Peramangk,,,,,
0ve,Nganguruku,,,,,
0vf,Wotjobaluk,,,,,
0vf-dja,Painbali,,,,,
0vf-wot,Wotjobaluk,,,,,
0vp,Yarreyarre,,,,,
0vx,Ladji-Ladji,,,,,
0vy,Madhi Madhi,,,,,
0w0,Wudjawuru,,,,,
0wd,Jitajita,,,,,
0wr,Jardwadjali,,,,,
0wr-mar,Mardidjali,,,,,
0x0,Djakunda,,,,,
0x1,Daribalang,,,,,
0x2,Baranbinja,,,,,
0x8,Murrungama,,,,,
0xf,Woiwurrung,,,,,
0xf-bun,Bunurong,,,,,
0xf-tng,Thagungwurrung,,,,,
0xn,Tyapwurru,,,,,
0xo,Kurung,,,,,
0xp,Gunnai,,,,,
0xp-brb,Brabirra-wulung,,,,,
0xp-brt,arrawarracka,,,,,
0xp-kra,Krauatungulung,,,,,
0xp-tat,Tatungalung,,,,,
0xq,Bidhawal,,,,,
0xs,Janday ,,,,,
0xt,Ngamba,,,,,
0xu,Ngaku,,,,,
0xv,Kambuwal,,,,,
0xx,Moondjan,,,,,
0xy,Keinjan,,,,,
0xz,Jagara,,,,,
0y1,Wakelbara,,,,,
0y2,Barna,,,,,
0y3,Nguro,,,,,
0y4,Miyan,,,,,
0ya,Pikambal,,,,,
0yz,Wangan,,,,,
0zc,Charumbul,,,,,
0zm,Juru,,,,,
0zn,Bindal,,,,,
adg,Andegerebinha,,,,ande1247,
adt,Adnyamathanha,,,,adny1235,
aer,"Arrernte, Eastern",,,,east2379,
aid,Alngith,,,,alng1239,
alh,Allaura,,,,alaw1244,
aly,Alyawarre,,,,alya1239,
amg,Amurdag,,,,amar1271,
amx,Anmatjirra,,,,anma1239,
ant,Antakarinya,,,,anta1253,
aoi,Anindilyakwa,,,,anin1240,
ard,Ngarabana,,,,arab1267,
are,Arrernte,,,,west2441,
are-sou,Southern Aranda,,,,,
awk,Awabakal,,,,awab1243,
awk-cam,Cameeragal,,,,came1251,
awk-won,Wannerawa,,,,wona1238,
bcj,Bardi,,,,bard1255,
bck,Punamba,,,,buna1275,
bdy,Budulung,,,,midd1357,
bdy-gid,Giabal,,,,,
bdy-wid,Widjabal,,,,,
bdy-yug,Yugumbir,,,,,
bia,Bidungu,,,,badi1246,
bjb,Parnkala,,,,bang1339,
bjd,Bandjigali,,,,band1337,
bjy,Bayali,,,,baya1257,
bvr,Burarra,,,,bura1267,
bxi,Yarri-kuna,,,,pirl1238,
